trimestre,observado,nowcast,ingenuo,promedio
2015Q1,0.143,0.833,1.09,1.031
2015Q2,2.174,1.031,0.143,1.016
2015Q3,1.221,0.892,2.174,1.035
2015Q4,-0.397,1.242,1.221,1.038
2016Q1,2.426,1.068,-0.397,1.016
2016Q2,-0.369,1.097,2.426,1.038
2016Q3,1.76,1.058,-0.369,1.016
2016Q4,1.031,0.959,1.76,1.027
2017Q1,0.513,0.965,1.031,1.027
2017Q2,2.232,1.231,0.513,1.02
2017Q3,-0.059,1.1,2.232,1.037
2017Q4,1.554,0.93,-0.059,1.022
2018Q1,0.696,1.125,1.554,1.029
2018Q2,1.009,0.921,0.696,1.025
2018Q3,-0.321,1.011,1.009,1.024
2018Q4,-0.625,0.836,-0.321,1.006
2019Q1,1.707,1.082,-0.625,0.984
2019Q2,1.405,1.198,1.707,0.994
2019Q3,0.27,0.8,1.405,0.999
2019Q4,0.495,1.111,0.27,0.99
2020Q1,0.095,1.118,0.495,0.984
2020Q2,-8.325,0.434,0.095,0.972
2020Q3,1.133,2.261,-8.325,0.858
2020Q4,2.742,1.836,1.133,0.861
2021Q1,4.22,1.225,2.742,0.884
2021Q2,2.229,1.424,4.22,0.923
2021Q3,3.213,1.023,2.229,0.939
2021Q4,0.784,0.902,3.213,0.965
2022Q1,0.927,0.953,0.784,0.963
2022Q2,0.662,0.663,0.927,0.963
2022Q3,1.443,1.806,0.662,0.959
2022Q4,2.031,1.062,1.443,0.965
2023Q1,0.426,0.59,2.031,0.976
2023Q2,1.634,1.611,0.426,0.97
2023Q3,0.96,0.681,1.634,0.978
2023Q4,0.831,1.4,0.96,0.977
2024Q1,1.06,1.362,0.831,0.976
2024Q2,1.142,0.673,1.06,0.977
2024Q3,0.541,1.563,1.142,0.978
2024Q4,1.304,1.298,0.541,0.974
2025Q1,0.514,1.188,1.304,0.977
2025Q2,2.563,1.588,0.514,0.973
2025Q3,0.773,0.524,2.563,0.988
2025Q4,0.442,0.564,0.773,0.986
2026Q1,0.127,0.966,0.442,0.981
2026Q2,1.167,0.912,0.127,0.973
